generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score,validation_best_score,validation_best_mean,validation_best_std,validation_best_survival_rate,best_validation_score_so_far
116,3911.8473199157743,-491.0330879979324,5949.629846783452,62,49.7890625,128,0,128,0.0,1.0,2560,1433,1127,0.559765625,0.440234375,-24.53006846239663,339.9501292283681,1490.177556833355,149.0177556833355,88.1828176635198,0.9,2210.1805713845533
117,3911.8473199157743,-304.0472547051535,5937.294067105174,62,49.984375,128,0,128,0.0,1.0,2560,1461,1099,0.570703125,0.429296875,-15.18195648525769,323.5416311419547,1287.6961184036902,128.76961184036904,122.81007088895014,0.8,2210.1805713845533
118,3912.2541120425385,207.62362238766843,5351.507161877928,54,52.1875,128,0,128,0.0,1.0,2560,1503,1057,0.587109375,0.412890625,10.404130338133408,293.4151455406315,1273.2055819764876,127.32055819764875,269.3600344284396,0.8,2210.1805713845533
119,4019.368558140249,-1563.9024482088262,6635.829471677799,62,54.0546875,128,0,128,0.0,1.0,2560,1281,1279,0.500390625,0.499609375,-78.17316147294133,379.16465812367863,1421.2508302128767,142.1250830212877,129.71335888619976,0.7,2210.1805713845533
120,4019.368558140249,-854.5616134024622,7092.346982765426,62,55.9375,128,0,128,0.0,1.0,2560,1544,1016,0.603125,0.396875,-42.70364707637312,395.27738047747147,1231.1829248436507,123.11829248436507,105.32942070414441,0.5,2210.1805713845533
121,4019.368558140249,168.0937246020469,5802.386417007246,62,56.8828125,128,0,128,0.0,1.0,2560,1689,871,0.659765625,0.340234375,8.427440136352333,325.0944540471478,1167.8268769848398,116.78268769848398,99.3189902708105,0.6,2210.1805713845533
122,4019.368558140249,-1494.5815577865417,7095.474354150608,62,56.7265625,128,0,128,0.0,1.0,2560,1428,1132,0.5578125,0.4421875,-74.70446070182709,393.7936586475969,741.6168827095398,74.16168827095399,134.63207886035664,0.4,2210.1805713845533
123,4020.2713192408764,981.9791252312095,4860.812925600721,62,60.0546875,128,0,128,0.0,1.0,2560,1691,869,0.660546875,0.339453125,49.120628136560484,279.51069489207964,689.9605106451554,68.99605106451554,115.15966379109851,0.3,2210.1805713845533
124,4020.2713192408764,445.2027852998752,5610.680105099364,62,60.6171875,128,0,128,0.0,1.0,2560,1691,869,0.660546875,0.339453125,22.283826764993762,305.1674633602404,1072.5925460786723,107.25925460786723,109.49901164049632,0.5,2210.1805713845533
125,4020.2713192408764,-38.18826926726268,5953.704800666039,62,61.03125,128,0,128,0.0,1.0,2560,1584,976,0.61875,0.38125,-1.8856908071131286,330.1253072351488,670.1536251248933,67.01536251248933,99.85599100610828,0.4,2210.1805713845533
126,4020.2713192408764,90.05810400086945,5928.565945925881,62,61.140625,128,0,128,0.0,1.0,2560,1631,929,0.637109375,0.362890625,4.526377856293473,328.2527471814405,507.1566893391216,50.71566893391216,82.33858313314016,0.4,2210.1805713845533
127,4020.2713192408764,543.8521996857933,5605.2829928032015,62,60.25,128,0,128,0.0,1.0,2560,1680,880,0.65625,0.34375,27.217016234289655,307.912087596929,1163.405594402346,116.34055944023461,111.93702139495262,0.9,2210.1805713845533
128,4020.2713192408764,140.08196511487193,5600.252457978966,62,59.7734375,128,0,128,0.0,1.0,2560,1633,927,0.637890625,0.362109375,7.024313099493595,306.43192951444036,1242.1379400789017,124.21379400789017,153.9354533608247,0.6,2210.1805713845533
129,4020.2713192408764,271.4558140315083,5740.43939666366,62,60.7421875,128,0,128,0.0,1.0,2560,1693,867,0.661328125,0.338671875,13.596126639075408,311.8374820045987,1432.5406406487268,143.2540640648727,118.65174653477368,0.6,2210.1805713845533
130,4020.2713192408764,1210.6667590601617,4614.796749529655,62,60.5546875,128,0,128,0.0,1.0,2560,1733,827,0.676953125,0.323046875,60.558912171758074,277.05884259817043,1575.7247881650906,157.57247881650906,111.63015821112587,0.7,2210.1805713845533
131,4020.2713192408764,445.05389274468484,5733.2221251956435,62,60.8046875,128,0,128,0.0,1.0,2560,1715,845,0.669921875,0.330078125,22.279436824734233,312.25600701287544,413.72610379770833,41.37261037977083,116.46655053083586,0.4,2210.1805713845533
132,4020.2713192408764,535.5685884575208,5950.096451751528,62,60.46875,128,0,128,0.0,1.0,2560,1826,734,0.71328125,0.28671875,26.801030985376038,326.11710696377173,1422.2305655388066,142.22305655388067,112.52884029795435,0.7,2210.1805713845533
133,4020.2713192408764,948.4656575057622,4800.059755375252,61,60.515625,128,0,128,0.0,1.0,2560,1719,841,0.671484375,0.328515625,47.444743812788104,272.5666346354001,147.878062034369,14.787806203436883,190.44094184720973,0.4,2210.1805713845533
134,4020.2713192408764,676.9303717638161,5784.035005040243,62,60.0234375,128,0,128,0.0,1.0,2560,1766,794,0.68984375,0.31015625,33.8702920256908,317.1497506959677,1166.1279556939207,116.61279556939208,103.54116615807074,0.6,2210.1805713845533
135,4020.2713192408764,39.005893875811296,6147.246722150287,62,60.5078125,128,0,128,0.0,1.0,2560,1598,962,0.62421875,0.37578125,1.9719665687905619,346.99614346652567,1282.6628659697453,128.26628659697454,112.49510390923719,0.7,2210.1805713845533
136,4020.2713192408764,221.5965803591901,5566.310172791512,60,60.4765625,128,0,128,0.0,1.0,2560,1591,969,0.621484375,0.378515625,11.101942299209494,313.01360020906924,1024.9587891844553,102.49587891844553,122.43671976883414,0.6,2210.1805713845533
